Data_Hora,IdTweet,Tweet,Candidato,Tweet_limpo
2022-08-01 12:15:12+00:00,1554078292004577283,Ganni Lula Women's red patent leather slip on flat dress pump shoes size EUR 37 https://t.co/94U3fqcPiL eBay https://t.co/jibeOIaQuE,Lula,ganni lula women's red patent leather slip on flat dress pump shoes size eur 37  ebay 
2022-08-01 12:15:12+00:00,1554078289316253697,"Bom para todos eleitores do Lula🌹
“Que a felicidade vire rotina.”
#lulaeleitonoprimeiroturno",Lula,bom para todos eleitores do lula🌹“que a felicidade vire rotina.”
2022-08-01 12:15:12+00:00,1554078289148493824,@alexandrekalil @LulaOficial Avisa a Miriam leitão https://t.co/WODBpMxt0d,Lula,  avisa a miriam leitão 
2022-08-01 12:15:10+00:00,1554078280223006726,@guimaraes13PT Datafolha: 100% dos brasileiros acreditam que Lula é inocente,Lula, datafolha: 100% dos brasileiros acreditam que lula é inocente
2022-08-01 12:15:08+00:00,1554078275269529602,"Bom dia meu amigo Humber tô Costa eu não concordo com sua frase, que diz Bom dia para quem não quer ver a hora de Lula ser presidente,seria correto Bom dia para quem quer vê a hora de Lula ser presidente https://t.co/sP3F3DtBCs",Lula,"bom dia meu amigo humber tô costa eu não concordo com sua frase, que diz bom dia para quem não quer ver a hora de lula ser presidente,seria correto bom dia para quem quer vê a hora de lula ser presidente "
2022-08-01 12:15:08+00:00,1554078272195121153,"A MENOR taxa de desemprego da HISTÓRIA do Brasil foi em 2014 com o PARTIDO DOS TRABALHADORES: 4.3%! 
Isso é considerado PLENO EMPREGO e isso nunca havia acontecido na HISTÓRIA do Brasil! VIVA o PARTIDO DOS TRABALHADORES, VIVA LULA E DILMA!!! 👏🏽👏🏽👏🏽❤️❤️❤️ https://t.co/XBpTXRxEOX",Lula,"a menor taxa de desemprego da história do brasil foi em 2014 com o partido dos trabalhadores: 4.3%! isso é considerado pleno emprego e isso nunca havia acontecido na história do brasil! viva o partido dos trabalhadores, viva lula e dilma!!! 👏🏽👏🏽👏🏽❤️❤️❤️ "
2022-08-01 12:15:07+00:00,1554078267606441985,"@AnaCleideNasc11 @Nilsonhandebol @LulaOficial @ptbrasil Seguindo!! ✊🏽✊🏽
#EsquerdaSDV #EsquerdaSegueEsquerda",Lula,    seguindo!! ✊🏽✊🏽 
2022-08-01 12:15:06+00:00,1554078266406887425,@Adriano94874664 @brasil247 É Lula presidente 2022 https://t.co/frvewtnwak,Lula,  é lula presidente 2022 
2022-08-01 12:15:05+00:00,1554078261746991106,@LulaOficial @ricardostuckert Vc foi catador do dinheiro do povo e quer voltar a cena do crime né @geraldoalckmin ?,Lula,  vc foi catador do dinheiro do povo e quer voltar a cena do crime né  ?
2022-08-01 12:15:05+00:00,1554078261252071424,@LulaOficial @ricardostuckert https://t.co/z1xWqAuiT5,Lula,  
2022-08-01 12:15:02+00:00,1554078249822703617,"@LulaOficial @gioewbank @brunogagliasso De fato os direitos de alguém nunca deveriam se sobrepor aos do semelhante. Minha esposa é Cafuza (negro + índio), graças a Deus nunca tive esse desprazer com ela. Eterna solidariedade às pessoas que passam por esse constrangimento. 
Porém, esse Carniça Psicopata jamais...",Lula,"   de fato os direitos de alguém nunca deveriam se sobrepor aos do semelhante. minha esposa é cafuza (negro + índio), graças a deus nunca tive esse desprazer com ela. eterna solidariedade às pessoas que passam por esse constrangimento. porém, esse carniça psicopata jamais..."
2022-08-01 12:15:01+00:00,1554078246299467777,"@senadorhumberto @LulaOficial Mal dia para quem é 13, Deus nos livre e guarde https://t.co/zdeVMA4oXX",Lula,"  mal dia para quem é 13, deus nos livre e guarde "
2022-08-01 12:15:00+00:00,1554078240456720385,@LulaOficial Milhares onde? só vai em lugar fechado sai na rua pra receber o povo .,Lula, milhares onde? só vai em lugar fechado sai na rua pra receber o povo .
2022-08-01 12:14:59+00:00,1554078237042638849,@LulaOficial https://t.co/0bPPHiox98,Lula, 
2022-08-01 12:14:59+00:00,1554078236426092545,"@bibonunes1 Heita sei não,seis tão maís desesperados que bandidos acuados,sem munição,sem rumo e esperando prá ver como vai ficar, simples, votei no que está presidente me arrependi, nunca votei no PT mas agora votarei com toda convicção, portanto Lula lá no primeiro turno!!!...",Lula," heita sei não,seis tão maís desesperados que bandidos acuados,sem munição,sem rumo e esperando prá ver como vai ficar, simples, votei no que está presidente me arrependi, nunca votei no pt mas agora votarei com toda convicção, portanto lula lá no primeiro turno!!!..."
2022-08-01 12:14:58+00:00,1554078232755961856,"@CarlosS48442375 Governo Dilma não era Lula? 
Dilma deixou o estrago iniciado por Lula.",Lula, governo dilma não era lula? dilma deixou o estrago iniciado por lula.
2022-08-01 12:14:58+00:00,1554078231778689024,"Deixem , o lula virá https://t.co/efDL2Bm91r",Lula,"deixem , o lula virá "
2022-08-01 12:14:57+00:00,1554078228192559105,@LulaOficial Volta pra cadeia,Lula, volta pra cadeia
